City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
296,ataq,14.5377,46.8319,69.94,72,73,10.51,YE,1712878165
297,lashkar gah,31.5938,64.3716,74.75,35,100,22.24,AF,1712878165
298,vila velha,-20.3297,-40.2925,81.95,82,20,4.61,BR,1712878022
299,al bawiti,28.3492,28.8659,66.49,32,2,6.87,EG,1712878165
300,fortuna,40.5982,-124.1573,58.66,78,40,10.36,US,1712878165
301,yabassi,4.457,9.9682,77.76,97,100,0.85,CM,1712878166
302,talodi,10.6325,30.3797,85.89,11,10,8.12,SD,1712877919
303,callao,-12.0667,-77.15,71.89,78,20,9.22,PE,1712878166
304,saint-joseph,-21.3667,55.6167,75.58,83,41,1.95,RE,1712878166
305,klyuchi,52.2667,79.1667,27.05,71,77,7.76,RU,1712878166
306,queenstown,-31.8976,26.8753,40.06,86,0,1.57,ZA,1712878166
307,inebolu,41.9747,33.7608,55.47,81,21,4.41,TR,1712878166
308,klaksvik,62.2266,-6.589,47.32,86,92,25.03,FO,1712878167
309,sohar,24.3643,56.7468,87.82,55,62,5.75,OM,1712878167
310,agat village,13.3886,144.6585,85.14,79,40,13.8,GU,1712878167
311,pyoksong-up,38.0475,125.5567,53.74,69,0,4.59,KP,1712878167
312,howrah,22.5892,88.3103,77.0,69,40,0.0,IN,1712878167
313,miles city,46.4083,-105.8406,56.37,28,0,3.44,US,1712878167
314,namsos,64.4662,11.4957,35.65,100,100,0.0,NO,1712877928
315,pizarro,4.9533,-77.366,80.62,82,39,5.19,CO,1712878168
316,nuuk,64.1835,-51.7216,27.21,93,100,8.05,GL,1712878168
317,choibalsan,48.0667,114.5,43.66,68,81,5.79,MN,1712878168
318,qamdo,31.1667,97.2333,27.34,59,28,4.21,CN,1712878168
319,namibe,-15.1961,12.1522,72.91,72,0,4.23,AO,1712878168
320,xilin hot,43.9667,116.0333,52.45,41,100,5.28,CN,1712878168
321,andorra,42.5,1.5,48.43,47,4,4.7,AD,1712878169
322,kinablangan,7.6947,126.5503,77.94,77,90,3.04,PH,1712878169
323,mccook,40.2019,-100.6257,66.25,17,0,18.41,US,1712878169
324,nenjiang,49.1833,125.2167,52.47,69,100,16.69,CN,1712878169
325,jacmel,18.2342,-72.5347,80.4,76,30,3.2,HT,1712878169
326,puerto aysen,-45.4,-72.7,42.75,92,0,0.81,CL,1712878169
327,hutchinson,38.0608,-97.9298,64.72,20,0,19.57,US,1712877949
328,soma,39.1855,27.6094,54.01,82,0,8.77,TR,1712878169
329,lompoc,34.6391,-120.4579,81.79,67,0,10.36,US,1712878060
330,vilyuchinsk,52.9306,158.4028,41.27,80,6,7.43,RU,1712878170
331,st. john's,47.5649,-52.7093,37.15,80,0,11.5,CA,1712877922
332,afaahiti,-17.75,-149.2833,85.87,87,89,16.53,PF,1712878170
333,pyay,18.8167,95.2167,83.64,46,57,3.56,MM,1712878170
334,pandan,14.0453,124.1694,79.45,87,92,8.66,PH,1712878170
335,villa gesell,-37.2639,-56.973,55.06,57,99,7.74,AR,1712878170
336,ambalangoda,6.2355,80.0538,78.8,86,90,5.7,LK,1712878171
337,manokwari,-0.8667,134.0833,80.69,76,95,1.81,ID,1712878171
338,oranjemund,-28.55,16.4333,77.45,30,1,14.65,NA,1712878171
339,leava,-14.3,-178.1667,84.51,78,99,12.12,WF,1712878171
340,lianhe,47.1333,129.2667,53.49,71,56,2.86,CN,1712878171
341,burao,9.5221,45.5336,79.43,60,8,4.23,SO,1712878171
342,keflavik,64.0049,-22.5624,39.11,87,75,16.11,IS,1712878171
343,reggane,26.7158,0.1714,77.14,18,0,17.4,DZ,1712878172
344,hami,42.8,93.45,55.99,37,2,7.05,CN,1712878172
345,hengchun,22.0042,120.7439,77.63,78,2,5.1,TW,1712878172
346,barranca,-10.75,-77.7667,72.91,77,53,7.76,PE,1712878172
347,cacador,-26.7753,-51.015,63.64,92,100,4.81,BR,1712878172
348,bargaal,11.2864,51.0773,80.98,82,67,6.2,SO,1712877921
349,port hueneme,34.1478,-119.1951,87.19,65,0,6.91,US,1712878172
350,goroka,-6.0834,145.3873,66.38,92,100,0.31,PG,1712878172
351,isangel,-19.55,169.2667,86.11,79,75,2.3,VU,1712878173
352,christchurch,-43.5333,172.6333,54.54,94,100,18.41,NZ,1712877967
353,happy valley-goose bay,53.3168,-60.3315,50.31,27,75,10.36,CA,1712878173
354,remire-montjoly,4.9167,-52.2667,82.44,89,75,4.61,GF,1712878173
355,bor,56.3567,44.0669,50.0,67,10,7.02,RU,1712878173
356,key west,24.5557,-81.7826,84.2,83,100,12.66,US,1712878021
357,birjand,32.8663,59.2211,57.67,67,75,6.91,IR,1712878173
358,kamen'-rybolov,44.7481,132.0403,45.91,79,25,10.0,RU,1712878174
359,outjo,-20.1167,16.15,70.09,43,55,3.2,NA,1712878174
360,karratha,-20.7377,116.8463,81.1,71,64,4.18,AU,1712878174
361,anshun,26.25,105.9333,60.51,93,95,3.8,CN,1712878174
362,swift current,50.2834,-107.8014,54.41,19,0,9.22,CA,1712878174
363,chinde,26.8418,88.0763,63.19,37,9,7.07,NP,1712878174
